BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),Has_Steam,Has_Gas,Has_Electricity,GFA_Education,GFA_Logistique_Stockage,GFA_Services_Publics_Industrie,GFA_Bureau_Finance,GFA_Commerce_Retail,GFA_Culture_Loisirs_Culte,GFA_Sante,GFA_Commerce_Alimentaire,GFA_Autre,GFA_Hotellerie_Logement,Nbhd_BALLARD,Nbhd_CENTRAL,Nbhd_DELRIDGE,Nbhd_DOWNTOWN,Nbhd_EAST,Nbhd_GREATER DUWAMISH,Nbhd_LAKE UNION,Nbhd_MAGNOLIA / QUEEN ANNE,Nbhd_NORTH,Nbhd_NORTHEAST,Nbhd_NORTHWEST,Nbhd_SOUTHEAST,Nbhd_SOUTHWEST
33,1.0,28,85000,331281,33556756.0,0,1,1,0.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348329.0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,1.0,5,0,57452,7606084.5,1,1,1,0.0,0.0,0.0,9741.0,0.0,16442.0,0.0,15505.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,1.0,10,0,104352,10154608.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104352.0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,1.0,10,0,540360,44984468.0,0,1,1,0.0,0.0,537150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,1.0,19,0,385274,47859812.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385274.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,1.0,6,30586,58006,3663534.5,0,1,1,0.0,30586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58006.0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,1.0,7,0,126593,11343686.0,0,1,1,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,1.0,2,0,67224,1310236.625,0,0,1,0.0,0.0,0.0,0.0,67224.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,1.0,8,30301,128375,5328051.5,0,1,1,0.0,42000.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,112676.0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,1.0,10,38281,133585,11061916.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128909.0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,1.0,5,16200,52210,4456714.5,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47994.0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,1.0,3,0,87262,4145920.5,0,1,1,18153.0,0.0,0.0,40943.0,0.0,4307.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1.0,4,0,81871,6668568.5,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81871.0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,1.0,2,0,110356,318364.8125,0,1,1,0.0,26225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,1.0,3,0,494835,448385312.0,0,1,1,0.0,459748.0,0.0,757027.0,0.0,0.0,639931.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,3.0,2,0,714095,44731160.0,0,0,1,0.0,892000.0,0.0,71000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,1.0,2,0,54986,1650279.25,0,1,1,54986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,1.0,2,0,94900,6186461.5,0,1,1,0.0,39314.0,0.0,55586.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,1.0,2,0,52554,2951331.25,0,1,1,7849.0,0.0,0.0,51029.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,1.0,3,0,175015,6994740.5,0,1,1,175015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,1.0,3,0,70586,2158629.0,0,1,1,28197.0,38439.0,0.0,3859.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,1.0,24,205970,126240,16163194.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348630.0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,1.0,5,0,168115,9536161.0,0,0,1,0.0,0.0,493.0,103362.0,65676.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,1.0,2,0,57428,1247362.0,0,1,1,0.0,0.0,0.0,0.0,57428.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,1.0,8,0,59400,5071974.0,0,0,1,0.0,0.0,0.0,34947.0,4993.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,1.0,2,0,52549,15026196.0,0,1,1,0.0,0.0,0.0,5459.0,0.0,23500.0,0.0,23500.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,1.0,20,10043,88591,4841347.5,0,1,1,0.0,10043.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,83591.0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,1.0,34,146694,847518,80469216.0,1,1,1,0.0,117668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994212.0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,1.0,7,0,71150,5348309.0,0,1,1,0.0,13730.0,0.0,0.0,9604.0,0.0,0.0,0.0,0.0,41340.0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,1.0,7,0,122810,5401277.5,0,1,1,0.0,0.0,0.0,0.0,8000.0,26450.0,0.0,0.0,0.0,88360.0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,1.0,5,42546,70627,5284343.5,0,1,1,0.0,42546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70627.0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,1.0,7,34735,115718,6715187.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,107547.0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,1.0,6,28200,88100,5827595.5,0,1,1,0.0,28300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88490.0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,1.0,6,36744,118858,6836900.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155602.0,0,0,0,0,0,0,0,1,0,0,0,0,0
105,1.0,3,0,56072,3234787.75,0,1,1,56072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1.0,4,44891,78051,5337334.0,0,1,1,0.0,44891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78051.0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,1.0,2,0,54984,3375211.0,0,1,1,0.0,0.0,0.0,54984.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,1.0,5,0,217603,42792072.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,296313.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1.0,2,0,93397,16402563.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,93397.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.0,6,20732,63371,3706100.25,0,1,1,0.0,20732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63371.0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,0.0,3,0,179014,16701055.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,179014.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
108,1.0,7,0,76631,7258758.5,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76631.0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,1.0,6,9341,90439,15473117.0,1,0,1,0.0,20868.0,0.0,17020.0,0.0,0.0,40174.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,1.0,2,0,58320,1049748.625,0,1,1,0.0,0.0,0.0,0.0,72072.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1.0,5,0,316306,13795954.0,0,1,1,0.0,150726.0,0.0,261826.0,0.0,0.0,0.0,0.0,15139.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,1.0,7,44766,238097,19459304.0,0,1,1,0.0,51537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235788.0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,1.0,1,0,389000,23658978.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,1.0,1,0,91213,8141155.5,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,1.0,5,0,396085,20955026.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1.0,12,0,571329,39605888.0,0,1,1,0.0,310699.0,0.0,598801.0,0.0,0.0,0.0,0.0,26203.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,1.0,2,0,52000,2726369.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,1.0,1,0,60696,875943.3125,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,1.0,2,0,262048,20723248.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,0.0,2,2352,63888,4166306.25,0,0,1,0.0,4551.0,5181.0,45900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1.0,6,303707,616891,36667044.0,0,1,1,0.0,185014.0,0.0,729584.0,0.0,0.0,0.0,0.0,6000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,1.0,4,25930,50283,3476212.5,0,1,1,0.0,21454.0,0.0,48546.0,0.0,0.0,0.0,0.0,2406.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,1.0,6,36934,59976,5155568.5,0,1,1,0.0,36934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59976.0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,2.0,4,0,50017,5448975.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50017.0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,1.0,3,0,67743,2646879.0,0,1,1,67743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
108,1.0,6,0,194104,6219841.5,0,1,1,194104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,1.0,3,35752,63681,4897760.0,0,0,1,0.0,35752.0,0.0,63681.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,1.0,4,0,56521,6357632.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,1.0,2,0,206934,4253577.5,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119146.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,1.0,4,0,51390,3611538.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51390.0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,1.0,1,0,245587,11765682.0,0,1,1,245587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1.0,3,0,69138,3242458.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70609.0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,1.0,5,0,190980,6505995.0,0,1,1,0.0,19051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190980.0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1.0,6,0,284100,14641502.0,1,1,1,0.0,0.0,0.0,0.0,0.0,189750.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,4.0,5,0,285333,68090728.0,0,1,1,0.0,148865.0,0.0,0.0,0.0,0.0,302661.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0,4,0,61156,9363374.0,0,1,1,0.0,0.0,0.0,29219.0,0.0,0.0,0.0,0.0,42755.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,1.0,4,13820,59000,2010454.625,0,1,1,0.0,0.0,0.0,0.0,0.0,58000.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,1.0,4,14200,148022,7946961.0,0,1,1,0.0,32692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113702.0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,1.0,3,0,63330,3059758.0,0,1,1,64820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,27.0,2,0,441071,38301744.0,0,1,1,483000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,1.0,2,0,96300,16319835.0,0,1,1,0.0,0.0,4944.0,92300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,1.0,1,0,67356,7475577.5,0,1,1,0.0,0.0,0.0,0.0,68359.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,1.0,1,0,54765,4253369.5,0,1,1,0.0,0.0,0.0,25765.0,0.0,0.0,0.0,0.0,25000.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1.0,5,0,89821,1950092.5,0,1,1,0.0,0.0,0.0,37938.0,0.0,0.0,0.0,4579.0,0.0,46483.0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,1.0,2,0,52611,4116871.5,0,1,1,52611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,1.0,4,37500,102100,4448582.5,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135520.0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1.0,2,0,236758,8355988.5,0,1,1,238550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,3.0,6,0,250981,13071700.0,1,1,1,0.0,0.0,78357.0,0.0,0.0,0.0,0.0,0.0,137565.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1.0,11,68432,230638,65336980.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,1.0,3,0,64015,3242077.75,0,1,1,0.0,15000.0,0.0,30000.0,9015.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,1.0,1,0,530039,27717034.0,0,1,1,0.0,0.0,0.0,0.0,505103.0,0.0,0.0,24936.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,1.0,3,0,54224,7265178.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,47012.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,1.0,4,0,124342,8765978.0,0,1,1,0.0,0.0,0.0,0.0,122000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,6.0,10,0,879000,253832464.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,879000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,1.0,3,0,55442,3191228.25,0,1,1,0.0,15385.0,0.0,28636.0,0.0,0.0,8644.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,1.0,5,0,84870,1381590.125,0,1,1,0.0,85521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,11.0,2,111625,582447,35891484.0,0,1,1,667335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,1.0,4,0,114297,2100097.75,0,1,1,0.0,114297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,1.0,1,0,234144,6744317.0,0,1,1,0.0,234144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,1.0,1,0,64984,2944296.25,0,1,1,0.0,0.0,0.0,0.0,65425.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,1.0,1,0,67745,9230223.0,0,1,1,0.0,0.0,0.0,0.0,67782.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1.0,2,0,367884,12265516.0,0,1,1,367884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,1.0,3,0,56000,1851260.5,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,1.0,2,0,52088,1377519.5,0,1,1,0.0,52088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1.0,5,30000,93920,9373179.0,0,1,1,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123920.0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,1.0,1,0,50000,7548807.0,0,1,1,0.0,0.0,0.0,0.0,0.0,43000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,1.0,2,0,50292,430473.6875,0,0,1,0.0,42345.0,0.0,4730.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,1.0,7,54341,153315,11171988.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141591.0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,1.0,2,0,91130,9472358.0,0,1,1,0.0,44731.0,0.0,57968.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,1.0,4,0,64893,6197825.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64893.0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,1.0,3,0,44558,1677002.25,0,1,1,0.0,7672.0,0.0,34416.0,0.0,0.0,0.0,2470.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,1.0,6,327680,1258280,59757440.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1585960.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,1.0,2,0,179161,9436408.0,0,1,1,0.0,117476.0,0.0,37321.0,0.0,0.0,0.0,0.0,25543.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,1.0,2,0,58640,3928695.25,0,0,1,0.0,40831.0,0.0,11533.0,16735.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,1.0,3,0,1172127,58761304.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1172127.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,1.0,9,14567,153882,12726789.0,0,1,1,0.0,20600.0,0.0,0.0,0.0,0.0,0.0,9216.0,0.0,135006.0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,0.0,4,0,79600,2411402.25,0,0,1,0.0,79600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,14.0,2,31874,302494,53466684.0,0,1,1,0.0,0.0,16766.0,240984.0,0.0,0.0,72963.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,1.0,6,335109,84739,9134963.0,0,1,1,0.0,335109.0,0.0,0.0,0.0,65000.0,13567.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,1.0,4,0,110785,10557910.0,0,1,1,0.0,29839.0,0.0,0.0,0.0,0.0,0.0,48520.0,0.0,58563.0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,1.0,0,0,934292,65047284.0,0,1,1,0.0,438756.0,0.0,0.0,0.0,0.0,0.0,49700.0,0.0,495536.0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,6.0,5,0,597519,143423024.0,0,1,1,0.0,48607.0,0.0,0.0,0.0,0.0,601615.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,1.0,3,8161,67236,549181.375,0,1,1,0.0,75397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,9.0,8,0,1158691,293090784.0,1,1,1,0.0,387651.0,0.0,0.0,0.0,0.0,1350182.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1.0,5,12611,90185,10105379.0,0,1,1,3231.0,0.0,0.0,0.0,0.0,0.0,95350.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,1.0,2,0,55653,1377627.0,0,1,1,55500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,1.0,16,0,106860,11935719.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106860.0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,1.0,5,0,50759,3147042.0,0,1,1,0.0,0.0,0.0,47079.0,0.0,0.0,0.0,3680.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,1.0,2,0,56772,2439484.75,0,1,1,0.0,0.0,0.0,0.0,0.0,56772.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,1.0,3,0,103000,4854429.5,0,1,1,0.0,0.0,0.0,0.0,0.0,103000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,1.0,7,0,128766,6057410.0,0,1,1,0.0,0.0,0.0,6136.0,0.0,109754.0,0.0,0.0,12876.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
